date,value,indicator_name
1980-04-18,1516.5,Gold price INR
1980-04-21,1507.5,Gold price INR
1980-04-22,1458.0,Gold price INR
1980-04-23,1476.0,Gold price INR
1980-04-24,1503.0,Gold price INR
1980-04-25,1606.5,Gold price INR
1980-04-28,1557.0,Gold price INR
1980-04-29,1503.0,Gold price INR
1980-04-30,1530.0,Gold price INR
1980-05-01,1494.0,Gold price INR
1980-05-02,1494.0,Gold price INR
1980-05-05,1494.0,Gold price INR
1980-05-06,1503.0,Gold price INR
1980-05-07,1485.0,Gold price INR
1980-05-08,1494.0,Gold price INR
1980-05-09,1494.0,Gold price INR
1980-05-12,1480.5,Gold price INR
1980-05-13,1485.0,Gold price INR
1980-05-14,1503.0,Gold price INR
1980-05-15,1494.0,Gold price INR
1980-05-16,1503.0,Gold price INR
1980-05-19,1498.5,Gold price INR
1980-05-20,1485.0,Gold price INR
1980-05-21,1467.0,Gold price INR
1980-05-22,1516.5,Gold price INR
1980-05-23,1462.5,Gold price INR
1980-05-26,1462.5,Gold price INR
1980-05-27,1440.0,Gold price INR
1980-05-28,1498.5,Gold price INR
1980-05-29,1498.5,Gold price INR
1980-05-30,1530.0,Gold price INR
1980-06-02,1624.5,Gold price INR
1980-06-03,1620.0,Gold price INR
1980-06-04,1647.0,Gold price INR
1980-06-05,1683.0,Gold price INR
1980-06-06,1696.5,Gold price INR
1980-06-09,1804.5,Gold price INR
1980-06-10,1750.5,Gold price INR
1980-06-11,1719.0,Gold price INR
1980-06-12,1701.0,Gold price INR
1980-06-13,1755.0,Gold price INR
1980-06-16,1728.0,Gold price INR
1980-06-17,1710.0,Gold price INR
1980-06-18,1741.5,Gold price INR
1980-06-19,1728.0,Gold price INR
1980-06-20,1746.0,Gold price INR
1980-06-23,1714.5,Gold price INR
1980-06-24,1732.5,Gold price INR
1980-06-25,1800.0,Gold price INR
1980-06-26,1795.5,Gold price INR
1980-06-27,1818.0,Gold price INR
1980-06-30,1894.5,Gold price INR
1980-07-01,1876.5,Gold price INR
1980-07-02,1926.0,Gold price INR
1980-07-03,1912.5,Gold price INR
1980-07-04,1912.5,Gold price INR
1980-07-07,1881.0,Gold price INR
1980-07-08,1971.0,Gold price INR
1980-07-09,1939.5,Gold price INR
1980-07-10,1899.0,Gold price INR
1980-07-11,1894.5,Gold price INR
1980-07-14,1849.5,Gold price INR
1980-07-15,1777.5,Gold price INR
1980-07-16,1786.5,Gold price INR
1980-07-17,1795.5,Gold price INR
1980-07-18,1746.0,Gold price INR
1980-07-21,1768.5,Gold price INR
1980-07-22,1741.5,Gold price INR
1980-07-23,1800.0,Gold price INR
1980-07-24,1800.0,Gold price INR
1980-07-25,1854.0,Gold price INR
1980-07-28,1827.0,Gold price INR
1980-07-29,1854.0,Gold price INR
1980-07-30,1840.5,Gold price INR
1980-07-31,1773.0,Gold price INR
1980-08-01,1845.0,Gold price INR
1980-08-04,1782.0,Gold price INR
1980-08-05,1800.0,Gold price INR
1980-08-06,1786.5,Gold price INR
1980-08-07,1809.0,Gold price INR
1980-08-08,1804.5,Gold price INR
1980-08-11,1755.0,Gold price INR
1980-08-12,1750.5,Gold price INR
1980-08-13,1759.5,Gold price INR
1980-08-14,1777.5,Gold price INR
1980-08-15,1782.0,Gold price INR
1980-08-18,1737.0,Gold price INR
1980-08-19,1782.0,Gold price INR
1980-08-20,1782.0,Gold price INR
1980-08-21,1831.5,Gold price INR
1980-08-22,1827.0,Gold price INR
1980-08-25,1827.0,Gold price INR
1980-08-26,1791.0,Gold price INR
1980-08-27,1795.5,Gold price INR
1980-08-28,1809.0,Gold price INR
1980-08-29,1804.5,Gold price INR
1980-09-01,1773.0,Gold price INR
1980-09-02,1786.5,Gold price INR
1980-09-03,1804.5,Gold price INR
1980-09-04,1804.5,Gold price INR
1980-09-05,1840.5,Gold price INR
1980-09-08,1867.5,Gold price INR
1980-09-09,1926.0,Gold price INR
1980-09-10,1953.0,Gold price INR
1980-09-11,1917.0,Gold price INR
1980-09-12,1966.5,Gold price INR
1980-09-15,1912.5,Gold price INR
1980-09-16,1912.5,Gold price INR
1980-09-17,1926.0,Gold price INR
1980-09-18,1926.0,Gold price INR
1980-09-19,1926.0,Gold price INR
1980-09-22,1980.0,Gold price INR
1980-09-23,2056.5,Gold price INR
1980-09-24,2029.5,Gold price INR
1980-09-25,2011.5,Gold price INR
1980-09-26,1993.5,Gold price INR
1980-09-29,1962.0,Gold price INR
1980-09-30,1917.0,Gold price INR
1980-10-01,1939.5,Gold price INR
1980-10-02,1930.5,Gold price INR
1980-10-03,1912.5,Gold price INR
1980-10-06,1908.0,Gold price INR
1980-10-07,1939.5,Gold price INR
1980-10-08,1921.5,Gold price INR
1980-10-09,1939.5,Gold price INR
1980-10-10,1939.5,Gold price INR
1980-10-13,1935.0,Gold price INR
1980-10-14,1917.0,Gold price INR
1980-10-15,1926.0,Gold price INR
1980-10-16,1908.0,Gold price INR
1980-10-17,1894.5,Gold price INR
1980-10-20,1867.5,Gold price INR
1980-10-21,1849.5,Gold price INR
1980-10-22,1867.5,Gold price INR
1980-10-23,1836.0,Gold price INR
1980-10-24,1786.5,Gold price INR
1980-10-27,1800.0,Gold price INR
1980-10-28,1791.0,Gold price INR
1980-10-29,1822.5,Gold price INR
1980-10-30,1822.5,Gold price INR
1980-10-31,1809.0,Gold price INR
1980-11-03,1791.0,Gold price INR
1980-11-04,1831.5,Gold price INR
1980-11-05,1858.5,Gold price INR
1980-11-06,1804.5,Gold price INR
1980-11-07,1710.0,Gold price INR
1980-11-10,1759.5,Gold price INR
1980-11-11,1714.5,Gold price INR
1980-11-12,1737.0,Gold price INR
1980-11-13,1741.5,Gold price INR
1980-11-14,1755.0,Gold price INR
1980-11-17,1732.5,Gold price INR
1980-11-18,1696.5,Gold price INR
1980-11-19,1809.0,Gold price INR
1980-11-20,1813.5,Gold price INR
1980-11-21,1845.0,Gold price INR
1980-11-24,1836.0,Gold price INR
1980-11-25,1764.0,Gold price INR
1980-11-26,1795.5,Gold price INR
1980-11-27,1782.0,Gold price INR
1980-11-28,1791.0,Gold price INR
1980-12-01,1836.0,Gold price INR
1980-12-02,1818.0,Gold price INR
1980-12-03,1818.0,Gold price INR
1980-12-04,1836.0,Gold price INR
1980-12-05,1800.0,Gold price INR
1980-12-08,1782.0,Gold price INR
1980-12-09,1782.0,Gold price INR
1980-12-10,1728.0,Gold price INR
1980-12-11,1683.0,Gold price INR
1980-12-12,1606.5,Gold price INR
1980-12-15,1687.5,Gold price INR
1980-12-16,1633.5,Gold price INR
1980-12-17,1665.0,Gold price INR
1980-12-18,1683.0,Gold price INR
1980-12-19,1629.0,Gold price INR
1980-12-22,1728.0,Gold price INR
1980-12-23,1746.0,Gold price INR
1980-12-24,1746.0,Gold price INR
1980-12-25,1746.0,Gold price INR
1980-12-26,1746.0,Gold price INR
1980-12-29,1750.5,Gold price INR
1980-12-30,1696.5,Gold price INR
1980-12-31,1701.0,Gold price INR
1981-01-01,1701.0,Gold price INR
1981-01-02,1710.0,Gold price INR
1981-01-05,1696.5,Gold price INR
1981-01-06,1732.5,Gold price INR
1981-01-07,1710.0,Gold price INR
1981-01-08,1669.5,Gold price INR
1981-01-09,1692.0,Gold price INR
1981-01-12,1647.0,Gold price INR
1981-01-13,1660.5,Gold price INR
1981-01-14,1642.5,Gold price INR
1981-01-15,1656.0,Gold price INR
1981-01-16,1647.0,Gold price INR
1981-01-19,1629.0,Gold price INR
1981-01-20,1633.5,Gold price INR
1981-01-21,1678.5,Gold price INR
1981-01-22,1669.5,Gold price INR
1981-01-23,1620.0,Gold price INR
1981-01-26,1543.5,Gold price INR
1981-01-27,1530.0,Gold price INR
1981-01-28,1539.0,Gold price INR
1981-01-29,1494.0,Gold price INR
1981-01-30,1516.5,Gold price INR
1981-02-02,1480.5,Gold price INR
1981-02-03,1485.0,Gold price INR
1981-02-04,1498.5,Gold price INR
1981-02-05,1485.0,Gold price INR
1981-02-06,1512.0,Gold price INR
1981-02-09,1539.0,Gold price INR
1981-02-10,1552.5,Gold price INR
1981-02-11,1512.0,Gold price INR
1981-02-12,1494.0,Gold price INR
1981-02-13,1480.5,Gold price INR
1981-02-16,1476.0,Gold price INR
1981-02-17,1507.5,Gold price INR
1981-02-18,1516.5,Gold price INR
1981-02-19,1516.5,Gold price INR
1981-02-20,1552.5,Gold price INR
1981-02-23,1552.5,Gold price INR
1981-02-24,1534.5,Gold price INR
1981-02-25,1548.0,Gold price INR
1981-02-26,1507.5,Gold price INR
1981-02-27,1503.0,Gold price INR
1981-03-02,1435.5,Gold price INR
1981-03-03,1399.5,Gold price INR
1981-03-04,1444.5,Gold price INR
1981-03-05,1381.5,Gold price INR
1981-03-06,1404.0,Gold price INR
1981-03-09,1417.5,Gold price INR
1981-03-10,1449.0,Gold price INR
1981-03-11,1431.0,Gold price INR
1981-03-12,1435.5,Gold price INR
1981-03-13,1489.5,Gold price INR
1981-03-16,1489.5,Gold price INR
